Country,City or Region (if applicable),Resolution,Year,Month (if applicable),Pollutant,Concentration,Unit,Method of Measurement,Data Source (Link),(Comments)
Vietnam,Hanoi,Monthly,2017,7,PM2.5,21.2682861,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2017,8,PM2.5,24.1917232,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2017,9,PM2.5,30.26571835,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2017,10,PM2.5,44.89366577,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2017,11,PM2.5,61.3048951,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2017,12,PM2.5,74.49851351,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,1,PM2.5,75.58684211,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,2,PM2.5,69.45458861,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,3,PM2.5,47.65301724,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,4,PM2.5,40.04134078,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,5,PM2.5,20.07378378,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,6,PM2.5,30.14025974,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,7,PM2.5,21.14910072,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,8,PM2.5,28.2861186,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,9,PM2.5,29.7522409,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,10,PM2.5,41.40405954,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,11,PM2.5,53.72036517,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Vietnam,Hanoi,Monthly,2018,12,PM2.5,33.68763441,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Vietnam$Hanoi,
Indonesia,Jakarta (South),Monthly,2015,1,PM2.5,75.5,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,2,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,3,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,4,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,5,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,6,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,7,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,8,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,9,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,10,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,11,PM2.5,45.24705882,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2015,12,PM2.5,29.2153527,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,1,PM2.5,46.16549865,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,2,PM2.5,38.81988389,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,3,PM2.5,43.47127371,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,4,PM2.5,42.34986111,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,5,PM2.5,51.47811634,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,6,PM2.5,51.69430556,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,7,PM2.5,44.14828061,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,8,PM2.5,47.25463215,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,9,PM2.5,40.74638889,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,10,PM2.5,40.64334705,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,11,PM2.5,46.05361111,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2016,12,PM2.5,20.09865591,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,1,PM2.5,21.12849462,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,2,PM2.5,23.5584989,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,3,PM2.5,27.725,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,4,PM2.5,26.55035562,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,5,PM2.5,45.72083333,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,6,PM2.5,34.12756681,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,7,PM2.5,42.78121622,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,8,PM2.5,41.49153605,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,9,PM2.5,39.59058989,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,10,PM2.5,30.76562942,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,11,PM2.5,22.05765766,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2017,12,PM2.5,10.83470032,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,1,PM2.5,12.8251928,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,2,PM2.5,30.75984127,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,3,PM2.5,37.69066306,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,4,PM2.5,44.58916667,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,5,PM2.5,59.69811828,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,6,PM2.5,51.71347222,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,7,PM2.5,69.26276882,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,8,PM2.5,59.84817708,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,9,PM2.5,44.76929699,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,10,PM2.5,49.65080645,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,11,PM2.5,41.68193642,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (South),Monthly,2018,12,PM2.5,28.96236559,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_South,
Indonesia,Jakarta (Central),Monthly,2015,1,PM2.5,101.1,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,2,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,3,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,4,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,5,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,6,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,7,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,8,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,9,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,10,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,11,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2015,12,PM2.5,32.94190871,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,1,PM2.5,38.00710383,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,2,PM2.5,29.19562044,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,3,PM2.5,33.59341398,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,4,PM2.5,36.16833333,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,5,PM2.5,49.73454301,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,6,PM2.5,55.14223164,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,7,PM2.5,47.46733871,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,8,PM2.5,44.60411523,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,9,PM2.5,40.06388889,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,10,PM2.5,43.28491848,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,11,PM2.5,47.08425787,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2016,12,PM2.5,22.36465054,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,1,PM2.5,21.27816794,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,2,PM2.5,27.96238245,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,3,PM2.5,26.09750367,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,4,PM2.5,25.92633053,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,5,PM2.5,37.73937754,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,6,PM2.5,27.00214067,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,7,PM2.5,32.44724518,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,8,PM2.5,31.57027027,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,9,PM2.5,34.7586351,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,10,PM2.5,28.09489247,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,11,PM2.5,27.40390738,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2017,12,PM2.5,15.67540323,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,1,PM2.5,14.99517045,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,2,PM2.5,24.22604167,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,3,PM2.5,25.54830853,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,4,PM2.5,35.36125,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,5,PM2.5,49.80280899,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,6,PM2.5,42.54555556,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,7,PM2.5,56.01922043,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,8,PM2.5,47.75853293,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,9,PM2.5,40.88466948,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,10,PM2.5,45.56424731,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,11,PM2.5,39.87777778,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Indonesia,Jakarta (Central),Monthly,2018,12,PM2.5,25.80795148,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Indonesia$Jakarta_Central,
Nepal,Embassy Kathmandu,Monthly,2017,1,PM2.5,123.5,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,2,PM2.5,89.84142857,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,3,PM2.5,67.14206989,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,4,PM2.5,65.4689415,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,5,PM2.5,45.41653226,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,6,PM2.5,34.487,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,7,PM2.5,14.07271505,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,8,PM2.5,14.12908587,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,9,PM2.5,22.75381356,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,10,PM2.5,29.70723473,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,11,PM2.5,47.21486111,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,12,PM2.5,73.38681023,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,1,PM2.5,86.36276882,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,2,PM2.5,91.22270059,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,3,PM2.5,87.40918919,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,4,PM2.5,58.83708333,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,5,PM2.5,40.13481183,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,6,PM2.5,30.50416667,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,7,PM2.5,10.33289037,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,8,PM2.5,10.97479784,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,9,PM2.5,17.29047619,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,10,PM2.5,35.50607143,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,11,PM2.5,58.69902507,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,12,PM2.5,81.06789773,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,1,O3,0,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,2,O3,43.03703704,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,3,O3,41.73252688,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,4,O3,50.24583333,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,5,O3,46.31123139,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,6,O3,38.75416667,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,7,O3,2.166666667,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,8,O3,3.690026954,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,9,O3,3.059888579,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,10,O3,2.740890688,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,11,O3,19.66053748,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2017,12,O3,17.35887097,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,1,O3,18.38978495,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,2,O3,22.59332024,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,3,O3,40.75403226,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,4,O3,41.45961003,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,5,O3,40.76716016,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
