Country,City,Year,Station Type,PM10,PM10 Type,PM2.5,PM2.5 Type,Reference,LAT,LNG,OpenAQ
Philippines,Pasay City,2016,1 N.A.,46.99774775,Converted,22,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.537752,121.001379,No
Philippines,Pasig,2016,1 N.A.,72.63288288,Converted,34,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.576377,121.08511,No
Philippines,Pateros City,2015,1 N.A.,68.36036036,Converted,32,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.548378,121.070773,No
Philippines,Quezon City,2016,1 N.A.,38.4527027,Converted,18,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.676041,121.0437,No
Philippines,San Carlos City,2013,"1 station, NA",61,Measured,32.13560619,Converted,"National Air Quality Status Report, 2012-2013",10.48127079,123.419342,No
Philippines,Taguig,2016,1 N.A.,49.13400901,Converted,23,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.517618,121.050864,No
Philippines,Urdaneta,2013,"1 station, NA",45,Measured,23.70659473,Converted,"National Air Quality Status Report, 2012-2013",16.00380707,120.5761719,No
Philippines,Valenzuela City,2016,1 N.A.,42.72522523,Converted,20,Measured,"Annual Report, Environmental Management Bureau, Department of Environment and Natural Resources",14.701056,120.983023,No
Philippines,Zamboanga City,2013,"2 stations, NA",48.5,Measured,25.55044099,Converted,"National Air Quality Status Report, 2012-2013",6.906873226,122.0814362,No
Singapore,Singapore,2014,"22 stations in urban, industrial and suburban locations distributed all over Singapore",30,Measured,18,Measured,Key Environment Statistics 2015 published by the Ministry of the Environment Water & Resources,1.352082968,103.8198395,Yes
Sri Lanka,Colombo,2011,"1 station, NA",64,Measured,35.59621054,Converted,"Clean Air Asia, primary source: Central Environmental Authority",6.936138153,79.84409332,Yes
Thailand,Ayutthaya,2016,1 N.A.,43.65972222,Measured,29.63454577,Converted,Pollution Control Department,14.34936668,100.5685355,Yes
Thailand,Bangkok,2015,11 N.A.,40.6751607,Measured,27.87037037,Measured,,13.74622118,100.5544779,Yes
Thailand,Chiang Mai,2016,2 N.A.,49.35666101,Measured,33.50140943,Converted,Pollution Control Department,18.81446096,98.98084261,Yes
Thailand,Chiang Rai,2016,2 N.A.,52.32232124,Measured,35.51438591,Converted,Pollution Control Department,19.90961884,99.82667883,Yes
Thailand,Chon Buri,2016,3 N.A.,39.73068582,Measured,26.96766648,Converted,Pollution Control Department,13.2178207,100.9435778,Yes
Thailand,Khon Kaen,2014,"1 station, Residential Urban Background",51,Measured,28.36573028,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",16.44532967,102.8352509,No
Thailand,Lampang,2016,4 N.A.,47.79571532,Measured,32.44189933,Converted,Pollution Control Department,18.3084127,99.66584917,Yes
Thailand,Lamphun,2014,"1 station, Residential Urban Background",44,Measured,24.47239475,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",18.56744385,99.00799561,Yes
Thailand,Loei,2016,1 N.A.,51.07722772,Measured,34.66926416,Converted,Pollution Control Department,13.76393629,100.529078,Yes
Thailand,Mae Hong Son,2016,1 N.A.,42.35771412,Measured,28.75079258,Converted,Pollution Control Department,19.30450102,97.97152526,Yes
Thailand,Nakhon Ratchasima,2014,"1 station, Residential Urban Background",51,Measured,28.36573028,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",14.97972584,102.0983047,No
